company,high,low,change_in_per,gain
Stampede Cap,0.9,0.9,0.1,12.5
Ortin Labs,37.9,35.0,3.85,11.54
Arihant Found,53.4,50.9,4.85,9.99
Tatva Chintan,2480.0,2280.0,203.05,9.51
Vardhman Acryli,83.6,75.1,6.15,8.82
ICICI Bank,827.65,798.4,62.5,8.23
Hindcon Chemica,67.75,64.0,4.4,7.14
KEC Intl,534.9,496.05,34.85,7.09
Quadpro ITeS,17.0,16.15,1.0,6.25
Solar Ind,2379.5,2244.0,118.25,5.35
IG Petro,847.7,800.1,40.3,5.14
