company,high,low,change_in_per,gain
IRB Infra,293.6,253.0,48.9,19.98
Univastu India,61.95,53.35,10.3,19.94
Rail Vikas,43.05,35.75,7.15,19.92
HSIL,264.0,224.8,30.55,13.83
Suven Life Sci,116.4,102.55,10.85,10.84
Paras Defence,1198.3,1153.6,108.9,10.0
Arihant Found,48.55,47.1,4.4,9.97
Gokul Agro,47.55,43.25,4.3,9.94
IFB Industries,1318.0,1186.05,110.75,9.34
Jindal Worldwid,142.15,129.4,11.8,9.22
Subros,390.0,350.0,32.3,9.18
Ircon Internati,52.9,46.75,4.15,8.76
Sterlite Techno,303.5,277.0,24.2,8.75
The Byke Hosp,41.95,37.0,3.0,8.49
RITES,317.0,284.9,23.75,8.33
D.K. Enterprise,44.1,41.0,3.3,8.25
Federal Bank,105.7,93.6,7.35,7.61
TVS Motor,632.85,598.95,42.75,7.41
CCCL,0.75,0.7,0.05,7.14
Triveni Turbine,182.0,163.95,11.15,6.64
Godfrey Phillip,1299.4,1182.25,80.0,6.63
IRFC,26.15,24.15,1.6,6.61
Welspun Corp,138.55,128.0,8.45,6.58
Ujaas Energy,3.4,3.15,0.2,6.45
Wendt,4800.0,4315.6,251.95,5.86
KEC Intl,514.05,468.25,27.2,5.85
GSS Infotech,88.45,81.0,4.55,5.7
Brigade Ent,455.0,429.0,23.95,5.64
Texmaco Rail,36.5,33.8,1.85,5.44
Shrenik,1.95,1.85,0.1,5.41
Deep Ind,151.35,137.55,7.5,5.37
G R Infra,2185.0,2069.7,105.25,5.13
Ortin Labs,34.5,31.0,1.6,5.04
