company,high,low,change_in_per,gain
Stampede Cap,0.9,0.9,0.1,12.5
Ortin Labs,37.9,35.0,4.1,12.29
Arihant Found,53.4,50.9,4.85,9.99
Vardhman Acryli,83.6,75.1,6.3,9.04
Tatva Chintan,2480.0,2280.0,187.05,8.76
ICICI Bank,827.65,798.4,65.95,8.69
KEC Intl,536.8,496.05,41.75,8.49
Usha Martin Edu,4.25,3.55,0.3,7.69
Sanwaria Consum,0.7,0.6,0.05,7.69
Hindcon Chemica,67.75,64.0,3.95,6.41
Quadpro ITeS,17.0,16.15,1.0,6.25
Gokul Agro,52.3,48.5,2.85,5.99
IG Petro,847.7,800.1,43.3,5.52
Solar Ind,2379.5,2244.0,118.55,5.37
