company,high,low,change_in_per,gain
Stampede Cap,0.9,0.9,0.1,12.5
Ortin Labs,37.9,35.0,4.0,11.99
Tatva Chintan,2480.0,2280.0,214.5,10.05
Arihant Found,53.4,50.9,4.85,9.99
Vardhman Acryli,83.6,75.1,6.4,9.18
ICICI Bank,827.65,798.4,61.55,8.11
Sanwaria Consum,0.7,0.6,0.05,7.69
KEC Intl,534.9,496.05,36.8,7.48
Hindcon Chemica,67.75,64.0,4.3,6.98
Quadpro ITeS,17.0,16.15,1.0,6.25
Gokul Agro,52.3,48.5,2.9,6.1
IG Petro,847.7,800.1,42.0,5.35
