company,high,low,change_in_per,gain
Keynote Finance,106.9,95.1,17.8,19.98
Gokul Refoils,33.2,28.35,4.45,15.72
Manaksia Coated,22.95,19.8,2.5,13.02
Salzer Electro,188.65,159.9,19.5,12.11
Barbeque Nat,1599.65,1396.95,146.7,10.56
MBL Infra,24.5,20.85,2.25,10.34
Oswal ChemandFe,24.4,21.2,2.15,10.14
Digjam,35.25,35.25,3.2,9.98
Ind-Swift Labs,73.85,69.0,6.7,9.98
Shiva Mills Lim,120.65,112.95,10.95,9.98
Sobha,962.0,858.0,84.9,9.8
Soma Textile,9.05,9.05,0.8,9.7
Sarla Performan,59.4,53.7,5.2,9.67
Garden Reach Sh,250.4,226.8,21.6,9.56
eClerx Services,2470.0,2305.0,195.85,9.12
Dynamic Service,45.0,41.3,3.65,8.84
TPL Plastech,203.8,178.55,15.3,8.54
Ambika Cotton,2295.0,2115.0,171.45,8.12
Khadim India,315.8,290.0,23.25,8.1
VRL Logistics,433.7,390.5,29.3,7.36
Rajdarshan Ind,27.75,24.75,1.85,7.33
Dolat Investmen,91.5,83.65,5.85,7.04
V-Marc,36.3,36.3,2.3,6.76
SKF India,3561.15,3288.5,222.9,6.76
KPR Mill,498.0,464.0,31.0,6.69
Gayatri Highway,0.8,0.7,0.05,6.67
Visagar Polytex,0.8,0.75,0.05,6.67
Astra Microwave,251.7,233.35,15.55,6.66
Flexituff Ventu,18.3,16.95,1.1,6.61
Oberoi Realty,1051.9,974.25,63.5,6.53
Mazagon Dock,310.0,279.05,17.9,6.44
Revathi CP,660.3,602.05,38.55,6.28
Shiva Texyarn,232.0,216.5,13.5,6.22
GSS Infotech,91.0,83.55,5.2,6.11
Shankara Buildi,614.0,561.0,33.2,5.94
Sutlej Textiles,75.0,69.0,4.0,5.74
Relaxo Footwear,1420.0,1334.7,75.0,5.62
Total Transport,55.4,52.05,2.85,5.5
Amber Enterpris,3550.0,3354.2,182.65,5.46
UFO Moviez,116.55,108.65,5.95,5.45
Guj Alkali,820.0,753.0,41.2,5.43
KPIT Tech,348.05,326.05,17.6,5.38
Linc PenandPlas,265.9,227.95,12.5,5.35
Trent,1132.3,1075.15,54.7,5.27
Mindteck,107.95,98.6,5.1,5.15
